id,sale_id,invoice_id,sale_date,customer_id,product_id,quantity,unit_price,total_price,channel,store_location,payment_method,first_name,last_name,email,phone,city,registration_date,loyalty_tier,birth_year
45703,1,INV-202301-00001,2023-01-10,2588.0,1274,2,234.79,469.58,pood,Tallinn,kaart,Hille,Paju,,+372 5429 0294,Tallinn,2022-07-28,bronze,1997.0
45704,2,INV-202301-00002,2023-01-16,4338.0,1207,2,241.13,482.26,pood,Pärnu,järelmaks,,,,,,,,
45705,3,INV-202301-00003,2023-01-05,4673.0,1264,1,258.46,221.19,pood,Pärnu,järelmaks,,,,,,,,
45706,4,INV-202301-00004,2023-01-02,4677.0,1341,3,45.21,135.63,pood,Tartu,sularaha,,,,,,,,
45707,5,INV-202301-00005,2023-01-13,2390.0,1284,1,99.57,99.57,pood,Tartu,kaart,Triin,Lill,triin.lill@telia.ee,+372 5378 0596,Tartu,2021-04-09,,1996.0
45708,6,INV-202301-00006,2023-01-28,4536.0,1338,1,282.29,282.29,pood,Tartu,järelmaks,,,,,,,,
45709,7,INV-202301-00007,2023-01-13,2029.0,1001,4,157.49,629.96,pood,Tartu,järelmaks,Meelis,Lill,meelis.lill@gmail.com,+372 5991 9314,Kuressaare,2020-05-04,,1989.0
45710,8,INV-202301-00008,2023-01-23,4097.0,1100,2,126.42,252.84,online,,kaart,,,,,,,,
45711,9,INV-202301-00009,2023-01-07,3308.0,1202,1,22.04,22.04,pood,Tallinn,sularaha,,,,,,,,
45712,10,INV-202301-00010,2023-01-08,2809.0,1083,1,72.14,72.14,pood,Tallinn,sularaha,Madis,Kull,madis.kull@gmail.com,+372 5783 7497,Võru,2021-07-25,,1988.0
45713,11,INV-202301-00011,2023-01-12,3837.0,1119,3,181.68,545.04,pood,Tallinn,sularaha,,,,,,,,
45714,12,INV-202301-00012,2023-01-09,3432.0,1345,2,225.81,451.62,online,,järelmaks,,,,,,,,
45715,13,INV-202301-00013,2023-01-18,2511.0,1072,1,80.64,95.39,pood,Tallinn,järelmaks,Merike,Sild,,+372 5286 9738,Tallinn,2021-04-22,bronze,1976.0
45716,14,INV-202301-00014,2023-01-01,2755.0,1153,4,79.59,318.36,pood,Tallinn,sularaha,Merike,Nõmm,merike.nomm@yahoo.com,+372 8548 9356,Jõhvi,2020-08-19,,1977.0
45717,15,INV-202301-00015,2023-01-05,3076.0,1018,1,47.07,47.07,pood,Pärnu,kaart,,,,,,,,
45718,16,INV-202301-00016,2023-01-11,3357.0,1050,1,145.72,145.72,pood,Tallinn,järelmaks,,,,,,,,
45719,17,INV-202301-00017,2023-01-16,4219.0,1168,1,316.04,316.04,pood,Tartu,kaart,,,,,,,,
45720,18,INV-202301-00018,2023-01-03,3990.0,1164,1,179.35,179.35,pood,Tartu,sularaha,,,,,,,,
45721,19,INV-202301-00019,2023-01-23,3585.0,1106,3,47.88,143.64,online,,sularaha,,,,,,,,
45722,20,INV-202301-00020,2023-01-06,2539.0,1042,2,347.84,695.68,pood,Tallinn,kaart,Arvo,Pihl,arvo.pihl@outlook.com,+372 5695 0564,Tallinn,2020-05-04,gold,1965.0
45724,22,INV-202301-00022,2023-01-17,3342.0,1303,2,312.41,624.82,online,,kaart,,,,,,,,
45725,23,INV-202301-00023,2023-01-06,4541.0,1045,2,176.65,353.3,online,,järelmaks,,,,,,,,
45727,25,INV-202301-00025,2023-01-17,3475.0,1281,1,292.61,292.61,pood,Pärnu,järelmaks,,,,,,,,
45728,26,INV-202301-00026,2023-01-11,4167.0,1012,1,160.21,160.21,pood,Tallinn,sularaha,,,,,,,,
